Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,193483,192270,1355524,927458,7.01,196
2,United States,143130,139924,1551044,530169,10.84,301
3,Japan,41188,40775,357829,93375,8.69,166
4,United Kingdom,33293,32300,405816,77019,12.19,185
5,India,32064,31167,268746,87658,8.38,153
6,Germany,27966,27370,278237,59495,9.95,166
7,Russian Federation,26435,26196,68424,29544,2.59,75
8,Canada,26148,25571,395467,74112,15.12,193
9,France,19696,19214,238639,48462,12.12,152
10,Italy,18773,17987,221652,54282,11.81,135
11,South Korea,18217,17994,208150,39811,11.43,132
12,Iran,15614,15334,160505,51493,10.28,108
13,Brazil,15332,15132,118483,28818,7.73,109
14,Australia,14907,14564,196567,34134,13.19,143
15,Spain,14204,13916,233955,42632,16.47,149
16,Taiwan,9603,9505,140752,20607,14.66,129
17,Turkey,8968,8707,157567,33600,17.57,136
18,Norway,8437,8323,79053,17256,9.37,98
19,Netherlands,8013,7818,97546,13200,12.17,113
20,Malaysia,7253,7002,70334,16961,9.7,98
21,Sweden,7144,6961,112443,17916,15.74,126
22,Denmark,6255,6061,84446,14272,13.5,115
23,Saudi Arabia,5962,5839,55277,8852,9.27,85
24,Switzerland,5513,5395,77315,11413,14.02,108
25,Poland,5346,5199,47581,11065,8.9,74
26,Mexico,5020,4833,41545,7422,8.28,72
27,Egypt,4828,4724,42956,7152,8.9,76
28,Ukraine,4729,4585,11032,4870,2.33,33
29,Singapore,4461,4327,71580,7309,16.05,109
30,Belgium,4322,4150,51169,6855,11.84,89
31,Greece,4284,4174,73881,10280,17.25,106
32,Portugal,4195,3988,47574,7858,11.34,82
33,Hong Kong,3790,3730,67535,7185,17.82,104
34,South Africa,3480,3390,28038,4932,8.06,68
35,Romania,3351,3323,15676,3359,4.68,51
36,Finland,3277,3199,38574,6022,11.77,76
37,Austria,3059,2949,28887,3496,9.44,69
38,Thailand,2776,2733,36653,4577,13.2,79
39,Czech Republic,2748,2697,12458,2932,4.53,46
40,United Arab Emirates,2356,2311,17237,1861,7.32,56
41,Algeria,2254,2169,18628,3857,8.26,58
42,Indonesia,2041,2017,9543,1583,4.68,42
43,Pakistan,2002,1956,11317,2296,5.65,43
44,Colombia,1882,1858,17701,2195,9.41,58
45,Ireland,1815,1779,31952,3736,17.6,81
46,Israel,1785,1740,23984,3217,13.44,69
47,Argentina,1719,1694,18891,2665,10.99,59
